source,target,weight
1015368,94017,1
1015368,1104426,1
1015368,1104427,1
1015368,1104428,1
94017,1015368,1
94017,1104426,1
94017,1104427,1
94017,1104428,1
1104426,1015368,1
1104426,94017,1
1104426,1104427,1
1104427,1015368,1
1104427,94017,1
1104427,1104426,1
1104427,1104428,1
1104428,1015368,1
1104428,94017,1
1104428,1104427,1
173558,71683,1
1295504,71683,1
71683,173558,1
71683,1295504,1
1080204,1363525,1
1363525,1080204,1
206526,206528,1
296166,1009633,1
1009633,296166,1
1015368,1655566,1
1015368,1655567,1
1655566,1015368,1
1655566,1655567,1
1655567,1015368,1
1655567,1655566,1
737000,737001,1
737001,737000,1
601742,71683,1
71683,601742,1
668864,668865,1
668865,668864,1
1015247,1015248,1
1015247,1015249,1
1015248,1015247,1
1015248,1015249,1
1015249,1015247,1
1015249,1015248,1
173558,71683,1
71683,173558,1
71683,1295504,1
1295504,71683,1
272981,272982,1
272981,272983,1
272982,272981,1
272982,272983,1
272983,272981,1
272983,272982,1
668864,668865,1
668864,668866,1
668865,668864,1
668865,668866,1
668866,668864,1
668866,668865,1
1215127,1215128,1
1215127,1215129,1
1215127,1215130,1
1215128,1215127,1
1215128,1215129,1
1215128,1215130,1
1215129,1215127,1
1215129,1215128,1
1215129,1215130,1
1215130,1215127,1
1215130,1215128,1
1215130,1215129,1
1541020,1541022,1
1541021,1541022,1
1541022,1541020,1
1541022,1541021,1
105791,105792,1
105792,105791,1
521627,521628,1
521628,521627,1
687395,687396,1
687396,687395,1
1022153,1022154,1
1022153,1022155,1
1022154,1022153,1
1022154,1022155,1
1022155,1022153,1
1022155,1022154,1
1349621,272983,1
1349621,272982,1
272983,1349621,1
272983,272982,1
272982,1349621,1
272982,272983,1
256914,1015368,1
1015368,256914,1
38741,20,1
20,38741,1
1581225,117451,1
117451,1581225,1
1673085,1673086,1
344148,1673086,1
1673086,1673085,1
1673086,344148,1
290399,290400,1
290400,290399,1
48429,599690,1
48429,599691,1
48429,20,1
599690,48429,1
599690,599691,1
599690,20,1
599691,48429,1
599691,599690,1
599691,20,1
20,48429,1
20,599690,1
20,599691,1
335215,20,1
335215,20,1
20,335215,1
20,335215,1
20,326283,1
326283,20,1
1068517,579860,1
1068518,579860,1
579860,1068517,1
579860,1068518,1
1135643,96216,1
1135643,24113,1
96216,1135643,1
96216,24113,1
24113,1135643,1
24113,96216,1
413865,413863,1
413865,1247036,1
1247035,1247036,1
413863,1247036,1
1247036,413865,1
1247036,1247035,1
1247036,413863,1
1293519,39035,1
39035,1293519,1
67269,38741,1
1242804,1242805,1
1242805,1242804,1
38741,1551450,1
1551450,38741,1
344148,338475,1
1976616,1977425,1
1977425,1976616,1
18280,18281,1
18280,18282,1
18281,18280,1
18281,18282,1
18282,18280,1
18282,18281,1
680834,680836,1
680834,680837,1
680835,680837,1
680836,680837,1
680837,680834,1
680837,680835,1
680837,680836,1
32575,1028153,1
32575,1015368,1
1028153,32575,1
1028153,1015368,1
1015368,32575,1
1015368,1028153,1
1547280,1547281,1
1547281,1547280,1
114742,2565132,1
2568857,2568858,1
2568858,2568857,1
20,19370,1
20,197936,1
19370,20,1
197936,20,1
48300,197936,1
197936,48300,1
129931,883355,1
129931,361086,1
129931,883356,1
129931,883357,1
883355,129931,1
883355,361086,1
883355,883356,1
883355,883357,1
361086,129931,1
361086,883355,1
361086,883357,1
883356,129931,1
883356,883355,1
883356,883357,1
883357,129931,1
883357,883355,1
883357,361086,1
883357,883356,1
129931,241398,1
129931,195753,1
129931,1051836,1
241398,129931,1
241398,195753,1
195753,129931,1
195753,241398,1
195753,1051836,1
1051836,129931,1
1051836,195753,1
247206,267873,1
267873,247206,1
20,49227,1
20,351272,1
49227,20,1
49227,351272,1
