source,target,weight
346100,346101,1
346101,346100,1
12737,287760,1
287760,12737,1
329623,563288,1
563288,329623,1
329623,959280,1
329623,959281,1
959280,329623,1
959280,959281,1
959281,329623,1
959281,959280,1
268832,268834,1
268833,268834,1
268834,268832,1
268834,268833,1
1538731,268834,1
1538731,1538732,1
268834,1538731,1
268834,1538732,1
1538732,1538731,1
1538732,268834,1
268833,268834,1
268834,268833,1
268834,1538732,1
1538732,268834,1
654808,654809,1
654809,654808,1
39511,320648,1
320648,39511,1
1025678,1025679,1
1025679,1025678,1
20688,1391615,1
2305469,728119,1
728119,2305469,1
473803,859878,1
859878,473803,1
268289,40297,1
40297,268289,1
13582,1474751,1
1474751,13582,1
72188,619304,1
72188,619305,1
619304,72188,1
619304,619305,1
619305,72188,1
619305,619304,1
13582,20480,1
20480,13582,1
745029,1223104,1
1223104,745029,1
16671,1625755,1
16671,418085,1
1625755,16671,1
1625755,418085,1
418085,16671,1
418085,1625755,1
21549,2317444,1
512645,2317444,1
2317444,21549,1
2317444,512645,1
2326495,2326476,1
2326476,2326495,1
137482,1049430,1
2,32315,1
32315,2,1
754317,754319,1
762816,762817,1
762816,762818,1
762816,762819,1
762816,762820,1
762816,762821,1
762816,762822,1
762816,762823,1
762816,762824,1
762816,743752,1
762816,762825,1
762817,762816,1
762817,762818,1
762817,762819,1
762817,762820,1
762817,762821,1
762817,762822,1
762817,762823,1
762817,762824,1
762817,743752,1
762817,762825,1
762818,762816,1
762818,762817,1
762818,762820,1
762818,762822,1
762818,762824,1
762818,762825,1
762819,762816,1
762819,762817,1
762819,762820,1
762819,762822,1
762819,762824,1
762819,762825,1
762820,762816,1
762820,762817,1
762820,762818,1
762820,762819,1
762820,762821,1
762820,762822,1
762820,762823,1
762820,762824,1
762820,743752,1
762820,762825,1
762821,762816,1
762821,762817,1
762821,762820,1
762821,762822,1
762821,762824,1
762821,762825,1
762822,762816,1
762822,762817,1
762822,762818,1
762822,762819,1
762822,762820,1
762822,762821,1
762822,762823,1
762822,762824,1
762822,743752,1
762822,762825,1
762823,762816,1
762823,762817,1
762823,762820,1
762823,762822,1
762823,762824,1
762823,762825,1
762824,762816,1
762824,762817,1
762824,762818,1
762824,762819,1
762824,762820,1
762824,762821,1
762824,762822,1
762824,762823,1
762824,743752,1
762824,762825,1
743752,762816,1
743752,762817,1
743752,762820,1
743752,762822,1
743752,762824,1
743752,762825,1
762825,762816,1
762825,762817,1
762825,762818,1
762825,762819,1
762825,762820,1
762825,762821,1
762825,762822,1
762825,762823,1
762825,762824,1
762825,743752,1
399849,1091051,1
399849,1091052,1
1091050,1091052,1
1091051,1091052,1
1091052,399849,1
1091052,1091050,1
1091052,1091051,1
938472,1567682,1
1567682,938472,1
793653,793655,1
793653,350094,1
793653,391243,1
793654,793655,1
793654,350094,1
793654,391243,1
793655,793653,1
793655,793654,1
793655,793656,1
793655,20,1
793655,350094,1
793655,793657,1
793655,391243,1
793655,793658,1
793656,793655,1
793656,350094,1
793656,391243,1
20,793655,1
20,350094,1
20,391243,1
350094,793653,1
350094,793654,1
350094,793655,1
350094,793656,1
350094,20,1
350094,793657,1
350094,391243,1
350094,793658,1
793657,793655,1
793657,350094,1
793657,391243,1
391243,793653,1
391243,793654,1
391243,793655,1
391243,793656,1
391243,20,1
391243,350094,1
391243,793657,1
391243,793658,1
793658,793655,1
793658,350094,1
793658,391243,1
31559,267467,1
267467,31559,1
650350,42567,1
42567,650350,1
295002,92523,1
295003,92523,1
92523,295002,1
92523,295003,1
92523,1016503,1
1016503,92523,1
300475,191556,1
300475,62708,1
300475,26358,1
191556,300475,1
191556,62708,1
191556,26358,1
62708,300475,1
62708,191556,1
26358,300475,1
26358,191556,1
300475,26358,1
300475,191556,1
26358,300475,1
26358,191556,1
191556,300475,1
191556,26358,1
18961,18963,1
18962,18963,1
18963,18961,1
18963,18962,1
31184,31185,1
31185,31184,1
614205,614206,1
614206,614205,1
10674,598443,1
733269,733270,1
733270,733269,1
1206753,565491,1
267467,267468,1
267468,267467,1
65308,777893,1
777893,65308,1
26358,48075,1
7979,2131416,1
2131416,7979,1
375419,159091,1
159091,375419,1
1059695,1059693,1
1059695,243476,1
1059696,1059693,1
