source,target,weight
20,543877,1
543877,20,1
20,543877,1
543876,543877,1
543877,20,1
543877,543876,1
12457,960820,1
960820,12457,1
10894,74569,1
74569,10894,1
44519,70264,1
21390,485479,1
21390,485480,1
21390,485481,1
21390,485482,1
485479,21390,1
485479,485480,1
485479,485481,1
485479,485482,1
485480,21390,1
485480,485479,1
485480,485482,1
485481,21390,1
485481,485479,1
485481,485482,1
485482,21390,1
485482,485479,1
485482,485480,1
485482,485481,1
1500528,1102309,1
1102309,1500528,1
215154,20,1
20,215154,1
42909,42910,1
42910,42909,1
20,814806,1
287369,20,1
20,287369,1
20,249738,1
249738,20,1
403074,20,1
20,403074,1
287369,50120,1
287369,720894,1
50120,287369,1
50120,720894,1
720894,287369,1
720894,50120,1
398020,598208,1
598208,398020,1
16841,56309,1
21120,56309,1
56309,16841,1
56309,21120,1
287369,616960,1
287369,48412,1
616960,287369,1
616960,48412,1
48412,287369,1
48412,616960,1
20,52428,1
732925,183802,1
183802,732925,1
1300031,787906,1
787906,1300031,1
1417680,547833,1
547833,1417680,1
58202,431232,1
431232,58202,1
765361,765363,1
765362,765363,1
765363,765361,1
765363,765362,1
90900,218822,1
218822,90900,1
20,1121025,1
1121025,20,1
528559,140452,1
140452,528559,1
58202,1435507,1
1435507,58202,1
1568893,65362,1
65362,1568893,1
180748,180749,1
180749,180748,1
232627,138500,1
138500,232627,1
84105,976338,1
976338,84105,1
1197532,1197533,1
1197533,1197532,1
40145,21319,1
21319,40145,1
635948,20,1
20,635948,1
31378,20,1
20,31378,1
442670,361577,1
361577,442670,1
582855,202050,1
202050,582855,1
20,55182,1
55182,20,1
20,157525,1
157525,20,1
492143,861876,1
861876,492143,1
20,80947,1
58202,50243,1
58202,1032919,1
50243,58202,1
50243,1032919,1
1032919,58202,1
1032919,50243,1
1103894,1103896,1
1103895,1103896,1
1103896,1103894,1
1103896,1103895,1
215154,51562,1
51562,215154,1
64488,1053284,1
1053284,64488,1
64312,211856,1
64312,211857,1
211856,64312,1
211856,211857,1
211857,64312,1
211857,211856,1
27051,97,1
97,27051,1
322788,322787,1
322787,322788,1
18189,30057,1
30057,18189,1
316703,20,1
20,316703,1
767308,323400,1
323400,767308,1
52715,845711,1
845711,52715,1
979860,979861,1
979860,979862,1
979861,979860,1
979861,979862,1
979862,979860,1
979862,979861,1
710561,20,1
20,710561,1
331356,1139159,1
1139159,331356,1
20,31378,1
31378,20,1
67891,283125,1
283125,67891,1
1316478,1316479,1
1316479,1316478,1
1389135,58330,1
58330,1389135,1
1446224,80947,1
51562,21620,1
21620,51562,1
582855,284266,1
284266,582855,1
635851,2086382,1
635851,2086383,1
635851,2086384,1
2086382,635851,1
2086382,2086383,1
2086382,2086384,1
2086383,635851,1
2086383,2086382,1
2086384,635851,1
2086384,2086382,1
188,48252,1
48252,188,1
260352,20,1
20,260352,1
20,2514944,1
2514944,20,1
39687,105334,1
105334,39687,1
176709,176710,1
176710,176709,1
250872,250873,1
250873,250872,1
15504,256769,1
305981,305982,1
305982,305981,1
447755,447756,1
447755,19224,1
447756,447755,1
447756,19224,1
19224,447755,1
19224,447756,1
532882,532883,1
532882,532884,1
532883,532882,1
532883,532884,1
532884,532882,1
532884,532883,1
651957,651958,1
651958,651957,1
285555,275545,1
275545,285555,1
20,46814,1
817631,817632,1
817632,817631,1
20,246364,1
246364,20,1
961187,20,1
20,961187,1
1052580,1052581,1
1052581,1052580,1
1078177,74168,1
74168,1078177,1
